#cell        type      caraway         kiwi
0               0           25         1246
1               2          450          549
2               1         1065         1022
3               0           13         3237
4               2          334          470
5               2          248          107
6               3           43           11
7               2          306          332
8               3           31           73
9               3           59           33
10              3           41            6
11              3            7           24
12              3           50           39
13              4         1443           50
14              2          557          127
15              2          198          542
16              2          115          541
17              2          223          268
18              4         3408           20
19              0           31         2985
20              3           24           25
21              1         4404         2526
22              1         3387         2406
23              3           31           47
24              0            9         4845
25              2          396          534
26              3           14           22
27              2          219          159
28              1          573         2603
29              2          100          164
30              2          328           67
31              2          713          215
32              4         1636           48
33              0           17         5930
34              3           21           13
35              2          175          175
36              3           24           28
37              4         2335           37
38              2          195          332
39              4         3483           21
40              0           16         1378
41              0           64         2458
42              1          646         2896
43              2          353          269
44              2           95          216
45              2          178          508
46              2          212          641
47              2          469          204
48              0           42         1314
49              3           33           12
50              0           38         2279
51              3            2           34
52              0           15         1037
53              1         2845         3039
54              1         4069         1188
55              1         1108         1312
56              4         2075           12
57              0           10         3246
58              2          739          317
59              3           54           40
60              1         1609          707
61              0           49         2476
62              2          169          246
63              1         3044         3195
64              2          336           91
65              2           59          639
66              4         2004           19
67              0           41         2042
68              0           20         1047
69              4         4430           53
70              2          321          292
71              3           46           44
72              2          403          129
73              2          140          186
74              3           35           15
75              2          254          196
76              3           37           30
77              0           20         2507
78              4         2971           40
79              2          341          135
80              1         1044         1844
81              3           26           23
82              2          125           61
83              1         2441         2393
84              0           91         1000
85              3           17           21
86              2          147          178
87              3           55           36
88              2          416          273
89              1         1990         2562
90              2          231          534
91              1         2053         1858
92              4         2315           62
93              2           74         1143
94              0           24         2241
95              3           43           85
96              2          417          220
97              0           12         3298
98              0           16         1545
99              0           14         3115
100             2          175          306
101             2          244          209
102             3           38           34
103             1         1671         1687
104             0           36         4126
105             4          803           24
106             2          300          192
107             3           63           23
108             2          213          329
109             3           13           30
110             1         2850         1652
111             3           25           22
112             1          292          753
113             1         1135          958
114             2          136          137
115             1         3083          955
116             1         1599         1654
117             3           38           47
118             0           14         2419
119             3           40           54
120             2          205          181
121             1         1534         2461
122             4         2719            6
123             2          426          232
124             1          650         2806
125             3           37           18
126             3           27           19
127             3            6           16
128             4         2100           26
129             1         2299         4969
130             4         4210            8
131             3           16           48
132             2          240          107
133             1         1291         3209
134             0           17         2528
135             1         1572         4925
136             2          270          359
137             3           16           24
138             2           29          733
139             3           95           61
140             1         1235         3045
141             2          294          156
142             1         3733         2146
143             2          262           83
144             2          565           92
145             2          422          213
146             0           62         1075
147             0           29         2135
148             1         1326         2624
149             2          195          249
150             2          169          190
151             4         3434           57
152             0           23         1890
153             1         2881         1226
154             2          534          167
155             4         1147           18
156             3           31           10
157             4         2873           31
158             1         1636         2158
159             4         1837           13
160             1         2392          788
161             2          380          100
162             3           24           35
163             1         3963         3114
164             2          570          451
165             2          360          191
166             0            2         4663
167             1          828         4330
168             2          271          197
169             2          490          246
170             4         3148           31
171             4         1539           42
172             1          293          436
173             4         1817           52
174             3           39           29
175             1         2034         1564
176             2          314          164
177             3           21           28
178             3           20            7
179             4         1755           39
180             2          611          219
181             2          170          314
182             2           47          282
183             2          305          448
184             3            7           36
185             4         3132           30
186             0           41         1378
187             1         2686         2720
188             1         1267         1598
189             4         1600           10
190             4         1368           27
191             3           13            7
192             2          150          357
193             3           22           19
194             1         1721         2861
195             2          386          152
196             1         4025         2015
197             0           19         2571
198             4         1197           44
199             0           45          315
200             2          214          279
201             2          285          636
202             2          282           90
203             2          111          220
204             4         1179           28
205             2          317          157
206             1          952         1099
207             4         1432           25
208             1         1448         2315
209             2          371          610
210             1         3696         1902
211             4         1495            9
212             1         2591          158
213             2          761           88
214             3           18           13
215             2          278          959
216             1         1242         2309
217             0           50         1505
218             3           34           10
219             0           24          975
220             4         1379           34
221             2          316          509
222             3           18           23
223             2          477          270
224             2          350          159
225             2          380          478
226             4         3362           58
227             3            4           35
228             1         3251         3129
229             4         3251           20
230             3           14           24
231             3           16           14
232             2          232          305
233             2          255          290
234             3           44           16
235             2          179           33
236             1         1267          987
237             1         3053          317
238             3           27           47
239             2           67          351
240             0           76         1078
241             2          217          176
242             1         3994         3772
243             3           54           46
244             2          459          298
245             3           32           60
246             4         2818           34
247             3           62           21
248             2          474          287
249             3           75           13
250             3            8           60
251             1         1330         3936
252             1          824         1525
253             2          210          281
254             2          470          500
255             2          211          431
256             3           29           50
257             3            9           10
258             2           62          383
259             1         1380         2344
260             4         1315           40
261             2          404          620
262             2          441          319
263             2          219          365
264             3            7            7
265             3           39           10
266             2          312          144
267             2          126          112
268             3           30           51
269             1         4713         2774
270             3           28           42
271             4         2854           25
272             3           23           27
273             2          182          183
274             2          573           69
275             1         3111         1805
276             1         1551          666
277             2          175          173
278             2          503          107
279             0           23         2899
280             0           24         1696
281             1         2453         1717
282             2           75          155
283             4         2255           51
284             2          541          271
285             0            4         2163
286             2          203          140
287             0           39         3786
288             0           34         1196
289             2          238          258
290             0           37         1569
291             1         3928          401
292             1         2077          819
293             2          170          260
294             3           49           21
295             2           99          239
296             3           52           19
297             1         3659          934
298             1         2030         2934
299             3           25           25
300             2           78          414
301             1         5429         2304
302             3           18           58
303             3           45           82
304             4         1550           43
305             0           44         1414
306             3           40           27
307             1         2904         1573
308             2          262          143
309             4         1451           27
310             2          391          377
311             3           26           18
312             2          102          267
313             3           15           25
314             4         3190           20
315             3           68           26
316             2          336          220
317             2          203          277
318             4         3215           14
319             2          299          156
320             3           25            5
321             0           51         1011
322             2          145          132
323             2          323          126
324             2          561          316
325             2          233          163
326             0           49         2064
327             4         3488           79
328             2          384          205
329             2          390          252
330             3           12           42
331             3           23           46
332             2          300          176
333             2          252           49
334             4          455           46
335             1         1628         2370
336             3           50           34
337             2          430           55
338             2          506          245
339             3           42           54
340             4         1210           12
341             0            8          889
342             3           30           37
343             1          521         1710
344             2          679          192
345             2          334          252
346             3           72           16
347             2          322          378
348             2          166          268
349             2          304          461
350             4         2321           29
351             3           51           25
352             2          336          198
353             3           38           14
354             3           11            6
355             1         1653         3977
356             1          959         2088
357             0           24         4348
358             3           10           33
359             3           78           41
360             2          281          290
361             1         1573          529
362             4         1238           31
363             2          161          217
364             2          124          331
365             2          574          383
366             2          330          281
367             1         1638         2359
368             2          149          378
369             1         3703         1639
370             1         1566         3413
371             1         1056         2330
372             2          285          371
373             2          200          287
374             1         1889         1522
375             3           19           21
376             3           46           17
377             3           22           29
378             2          165          450
379             2          307          338
380             2          108          195
381             2          236          575
382             2          170          418
383             0           34         1649
384             3           14           38
385             2          214          171
386             2          226          187
387             2          174          562
388             2          444          401
389             2          137          191
390             3           39           14
391             0           14         1889
392             2           56          737
393             3           39           47
394             2          120          293
395             3           30           62
396             2           85          261
397             3           38           29
398             2          639           69
399             2          158          571
400             2          402          452
401             2          622          518
402             0           34         2057
403             1          285         2977
404             2          562          322
405             0           21         3586
406             4         2201           78
407             2          232          330
408             2          335          143
409             3           50           20
410             2          552          303
411             2          599          251
412             1         1478         2712
413             1         1112         2218
414             2          352          246
415             0           23         2945
416             2          429          354
417             0           32         2840
418             4         3384           18
419             3           53           13
420             3           40           33
421             1         1137         2723
422             2          174          326
423             1         2838          525
424             1         1405         1588
425             3           15           20
426             3           30           17
427             3           22           66
428             2          292          503
429             2          231          431
430             2          378          123
431             2          140          456
432             1         1917         2990
433             2          125          241
434             1         2954         1655
435             1         4679         1252
436             1         1290         1944
437             2          355          201
438             1         2967          882
439             2           60          265
440             2          287          136
441             4         2214           37
442             2          219          122
443             4          618           77
444             2          224          247
445             0           52         2811
446             3           36           32
447             3           28           61
448             0           30         2549
449             2          450          395
450             1         3198          928
451             2          400          281
452             2          128          115
453             2          205          408
454             3           12           31
455             3           29           18
456             2          181           95
457             2          185           27
458             2          239          435
459             0           32          912
460             2          198          588
461             0            7          668
462             3           21           30
463             3           29           20
464             3           17           49
465             1         1790         1814
466             4         1589           30
467             3           42           25
468             3           24           73
469             1         1246         2549
470             1         3431         2219
471             2          103          184
472             4          896           36
473             1         3144         2212
474             1         1063         2656
475             3            7            9
476             1         2621         2491
477             4          957           44
478             4          590           88
479             2          354          171
480             2          230          236
481             1         1019         2130
482             2          347          391
483             0           61         4320
484             3           73           25
485             1         5234         2708
486             2          486          251
487             2          756          239
488             2          273          167
489             3           29           28
490             2          253          294
491             3           27           10
492             2          527          100
493             3           29           44
494             2          540          306
495             1          714         1429
496             2          319          341
497             2          192          176
498             3           32           27
499             1          935         1278
500             2          208          318
501             0           28         1733
502             2          186          401
503             1         2611         1375
504             1         5397         3168
505             1         1063         1602
506             1         2799         2217
507             3           13           15
508             3           62           30
509             1         2374         1427
510             0            3         1175
511             2          249          101
512             4          788           20
513             2          399          576
514             3           29           40
515             2          199          651
516             2          291          308
517             3           56           19
518             1         2101         2636
519             1         1757         2282
520             3           54           17
521             3           41           20
522             1         2006         4224
523             4         1416           34
524             3           12           50
525             3           61           28
526             1         1363         1509
527             2          189          100
528             3           50           21
529             0            5         1617
530             2          257          238
531             2          246          525
532             3           22            5
533             0           23         2085
534             3           22           10
535             4         2215            9
536             2           23          308
537             1         1673         1320
538             2          274          308
539             2          206          141
540             1         1760         3138
541             2          319          305
542             2          216           75
543             2           62          279
544             0           24         1923
545             0           23         1637
546             0           33         4904
547             3           58           67
548             2          738          560
549             3           38           21
550             2          349           97
551             4         1101           10
552             4         2141           33
553             0           45         1758
554             2          228          394
555             3           30           20
556             2          293          139
557             3           30           38
558             1         1816         2192
559             0           33         2395
560             2           88          254
561             1         2442         1120
562             3           70           12
563             3           17           29
564             0           57         2748
565             1         1375         2302
566             1         1412         1519
567             1         1238         3350
568             0           22         2488
569             2          123          446
570             0           46         2679
571             1         2975         2243
572             2          160          526
573             3           10           39
574             2          251          284
575             0            8         1255
576             2          234          126
577             3           44           29
578             2          164          239
579             2          543          377
580             1         2696         1719
581             1         5502         1871
582             0           12         1499
583             2          108           46
584             2          131          590
585             4          749           17
586             2          151          201
587             2          435          169
588             1         1509          673
589             3           12           52
590             0           12          772
591             2          561          482
592             4         3780           53
593             0           25         1171
594             1         3229         1911
595             1         1380         1887
596             2          608          328
597             2          167          180
598             4         5243           28
599             1         2913         4937
600             3           19           22
601             3           22           20
602             4         3430           17
603             2          344          137
604             3           12           29
605             1         1413          800
606             2          484          390
607             3           50           16
608             2          264          492
609             3           27           32
610             2          193           39
611             2          148          266
612             2          300          101
613             2          309          594
614             0           25         1073
615             2          215          337
616             3           41           77
617             2          582          168
618             0           19         2222
619             1         2092          859
620             3           25           18
621             1         2309         1586
622             2          150          540
623             3           41           35
624             2          425          570
625             4         1471           49
626             2          374          699
627             2          354           40
628             2          426          471
629             2          150          343
630             1         1896          625
631             3           19           10
632             2          338          391
633             1         1066          795
634             0           33         1452
635             1          970         2355
636             1          996         3493
637             1          665         1028
638             2          308          426
639             3           21           12
640             2          384          224
641             1          738         1210
642             2          216          121
643             1         3678         2483
644             2          459           71
645             2          250          129
646             2          135          383
647             0           11         1841
648             2          462          264
649             2         1030          210
650             0           35         1397
651             2          531          374
652             2          418          275
653             2           68          286
654             2          129          291
655             0           34         1527
656             4         2053           22
657             3           51           20
658             1         3071         2151
659             3           19           37
660             1         2938         2520
661             3           37           12
662             4         1991           50
663             0            3         1367
664             1         2873         2803
665             2          317          422
666             2           66           72
667             3           74           24
668             1         2577         2633
669             1         4364         3367
670             2          240          193
671             3           40           12
672             0           45         2500
673             2          306          514
674             3           55           39
675             2          169          323
676             1         1597         1500
677             2          143          409
678             3           33           18
679             2          290          256
680             0           31         2649
681             3           35           18
682             3           21           26
683             2          212          315
684             3           19           43
685             1         1033         4599
686             2          258          417
687             2          164          308
688             2          218          817
689             1         3414         1964
690             2          162          262
691             2          113          556
692             1         2123          701
693             0           38         1512
694             2          201          308
695             3           21           30
696             2          269          157
697             0           33         3354
698             2          212          150
699             3           29           23
700             2          178          530
701             3           22           29
702             3           43           19
703             3           80           37
704             2          378          295
705             4         1425           41
706             0           17         2054
707             4         3150           41
708             1          520         2234
709             1         1031         1429
710             2          243          163
711             3           35           33
712             1         1655         1843
713             2          456          121
714             3           51           21
715             2          269          265
716             0           25         1431
717             3           28            4
718             3           36           40
719             1         2436         1777
720             1         3300         1896
721             4         4244           41
722             2          378          636
723             1         2384         1354
724             3           39           11
725             3           25           35
726             2          100          245
727             2          643          164
728             0           11         1369
729             2          198          129
730             3            6           51
731             4         2749           16
732             4         1922           18
733             2          165          211
734             1         2587         1118
735             2          113          290
736             2          530          188
737             0           63         1162
738             0           21         2119
739             2          213          536
740             1          847         2913
741             3           36            4
742             2          450          390
743             3           22           25
744             3           36           21
745             0           17         2077
746             2          275          139
747             2          710          275
748             4         1485           11
749             2          289          395
750             1         1558         2157
751             0           51         2409
752             1         2338         1478
753             4         3102           53
754             0           55         2666
755             2          291          390
756             4         2522           30
757             2          213          290
758             1         1549         1664
759             2          412           72
760             3           63           16
761             1         2584         2277
762             2          192          612
763             3           10            8
764             2          485          258
765             4         1259           29
766             2          387          684
767             2          426          230
768             3            9           60
769             3           58           15
770             3           30           37
771             4         1083           37
772             2          163          138
773             3           23           22
774             0           28         1780
775             0           37         2176
776             0           17         1314
777             2           74          279
778             2          482          498
779             3            5           57
780             2          404          154
781             2          376           92
782             1         3374         3020
783             0           26          784
784             2          206          287
785             0           37         4727
786             2          129          207
787             3            5            8
788             1         1259         1010
789             1          733         2825
790             2          214          506
791             3           26           16
792             2          488          349
793             3           16           19
794             4         1434           67
795             3           12           17
796             3           22           73
797             3           21           32
798             1         3052         1616
799             2           96          389
800             2          280          519
801             2          477          391
802             2          283          196
803             3           13           58
804             4         3054           49
805             2          206          336
806             0           37         1565
807             4         2629           19
808             4         2688           37
809             2          460          164
810             0           21         1281
811             3           49            2
812             2          845          617
813             2           73          502
814             3           58           20
815             1         2219         1243
816             2          113          140
817             3           23           19
818             4         1399           14
819             2          165           63
820             3            9            4
821             4         1552           27
822             1          879          712
823             3           47           17
824             1         1514          692
825             1         1213          917
826             1          777         1728
827             1         1658         3294
828             1         3579          590
829             2          164          180
830             0            1         2347
831             2          293          258
832             2          271          286
833             4         1640           16
834             1         1337         3356
835             1         1109         2550
836             1         2782         1084
837             4         2222           16
838             3           38           23
839             1         1115         2066
840             2          250          165
841             2          386          239
842             2          233           54
843             1         1312         1550
844             3           21           35
845             2          268          507
846             2          589          300
847             1         1491         1326
848             4         3588           21
849             4         1151            8
850             2          611          609
851             4         2062            9
852             2           92          324
853             0           40         1706
854             2          305          184
