"logFC" "logCPM" "PValue" "FDR"
"huckleberry" 7.70768517434384 10.8293530550928 4.46523501132254e-34 8.94431225118018e-30
"watercress" 7.3124143951404 9.78214791469619 1.89615307940929e-32 1.89909211668238e-28
"chestnut" 7.5068171111829 7.867870191642 3.05991310116014e-31 1.82887183755069e-27
"rosemary" 7.37534983838362 9.95535522601516 3.65208294653425e-31 1.82887183755069e-27
"cauliflower" 6.92434246387497 10.7856850988539 7.07922739103993e-30 2.83608007739842e-26
"blackberry" 6.85905915790115 12.1473162209723 9.8874403065931e-30 3.30092194635611e-26
"cranberry" 6.92631171154957 7.2074901962693 1.52060530718339e-29 4.35132070117008e-26
"quince" 6.67184508802741 12.600392063649 9.26155552458385e-29 2.27605041010902e-25
"watermelon" 6.7593781890884 13.7419282740537 1.02263759627483e-28 2.27605041010902e-25
"strawberry" 6.77056953277403 10.1642506598672 1.80181437590938e-28 3.60921437638409e-25
"fennel" 6.69497747413159 8.33412646454036 6.38910467239523e-28 1.16345596084317e-24
"parsley" 6.71449739385152 9.28950602392929 7.5916872203097e-28 1.2672423892502e-24
"pear" 7.30416348659692 3.1749613833388 1.18996747083742e-27 1.83355680064188e-24
"grape" 6.53824170196163 9.27213514442057 6.09778591992565e-27 8.72462498300219e-24
"elderberry" 6.32810137373221 10.9080001220708 2.58204368991821e-26 3.40288951535103e-23
"orange" 6.26845829881291 11.4649972884243 2.73992300051956e-26 3.40288951535103e-23
"turnip" 6.19598859727977 12.2329818910774 2.88797971948318e-26 3.40288951535103e-23
"raisin" 6.26186230721464 12.3689895683606 3.06555345219401e-26 3.41145006671657e-23
"papaya" 6.22146496543879 10.0039610033146 3.44059821003818e-26 3.62729593396183e-23
"mustard" 6.44692040902287 6.81680664449666 4.40144670128937e-26 4.40826894367637e-23
"fig" 6.1865146228322 11.5615031787532 6.29423524731392e-26 6.00380124947358e-23
"basil" 6.25259160502122 8.3695256053207 9.7051606036295e-26 8.83654872960466e-23
"coconut" 6.27806846291711 11.6344328675279 1.23096045875762e-25 1.072059519538e-22
"apricot" 6.26615160600339 7.48843659114235 1.4064653025584e-25 1.17387110314781e-22
"arugula" 6.45431973358908 10.2453614697637 1.86077037843972e-25 1.49092365802104e-22
"olive" 6.21870295497435 11.5583163278608 2.29322390267343e-25 1.76675261517121e-22
"currant" 6.02766971985975 11.1884547739838 2.49601814856327e-25 1.85176813088411e-22
"peach" 6.11690487234235 9.04018188489651 4.44030221352594e-25 3.17656048711208e-22
"mango" 5.99362871869153 12.8807505391088 6.33417618665555e-25 4.37516838603094e-22
"okra" 5.95386708179682 9.36717346006908 7.7578773036576e-25 5.17993467565218e-22
"blueberry" 6.00339677400382 10.3281114534802 1.31597584912316e-24 8.50332652702774e-22
"lentil" 5.98228562963937 11.4307291249974 3.64515167634736e-24 2.28175103840356e-21
"lettuce" 5.86721684344906 11.38598689247 4.12064173966229e-24 2.50122953597501e-21
"beet" 6.20633103111966 3.95059881176991 7.27754702704836e-24 4.28754542643546e-21
"wasabi" 5.69152701225545 13.8982904684654 9.88151389066635e-24 5.6553315641125e-21
"rhubarb" 5.80853376160136 11.630046559755 1.80169907776026e-23 1.00249539518377e-20
"pomegranate" 5.716372042231 7.35669291297345 3.47423962081009e-23 1.88087821201208e-20
"grapefruit" 5.69728993110717 8.95102230099486 1.04775932156971e-22 5.52307025535866e-20
"onion" 5.60335711563655 9.33904787854613 1.52863349376978e-22 7.85129679838525e-20
"mushroom" 5.64741656444718 7.88739110055772 3.80057495033728e-22 1.90323292075515e-19
"clementine" 5.65914231483976 9.9173928517217 6.21433181854747e-22 3.0360800160323e-19
"tomato" 5.47886024232724 9.31343048121219 3.74547658797462e-21 1.7863247984219e-18
"chard" 5.39834872994009 10.3514589423426 5.09094845787003e-21 2.37155322231615e-18
"avocado" 5.24418623860878 10.755619223337 8.76669846918094e-21 3.99103947809462e-18
"banana" 5.29671608898035 9.47478056108266 1.79531933390705e-20 7.99156479499825e-18
"kohlrabi" 5.18209641023607 9.80768062414884 2.01146088380839e-19 8.75903760077519e-17
"asparagus" 4.98025258364624 8.35636354274526 2.91633717247464e-19 1.24291808301786e-16
"raspberry" 5.04152412254845 8.29822660594329 1.09444405093993e-18 4.56725183007869e-16
"eggplant" 4.74643611817912 10.3142674997183 6.561074386393e-18 2.682140429262e-15
"parsnip" 4.7249937548114 9.07404300845117 6.16946095682903e-17 2.47160944852485e-14
"GRAMD4" -2.33731977617209 4.35122114577211 2.25337573350294e-06 0.000885046457211712
"E4F1" -2.69424637037686 -1.32873970668528 7.00818670577432e-06 0.00269963438275703
"FAM179A" -2.22177707158723 6.87976006351753 7.78591409247373e-06 0.00294263481483663
"MED12" -2.17591738832153 2.66591835153662 1.28294671393603e-05 0.00475901956052825
"FOXP1" -2.11648413575407 5.83627152231603 1.45346089035126e-05 0.00529350456265929
"NDUFB7" -2.1078314969751 6.13937633861298 2.10788733237729e-05 0.00753983770622314
"TMEM30A" -2.10605626319274 3.95381948497772 2.32711386430069e-05 0.00817796803786089
"RGS5" -2.1042395432698 5.98202710296521 2.69379869773074e-05 0.00930335891624906
"HMGCL" -2.06576850702197 5.8595773996208 2.74861498668109e-05 0.00933178081325576
"IRX2" -2.09086213350217 3.46280217298962 2.80980568269465e-05 0.00938053627167608
"CNKSR1" -2.03741217439953 5.12449239841638 4.52510577805103e-05 0.0148594088262525
"ACO2" -1.95813814521678 7.07167132662494 7.94361817017244e-05 0.0255219191552063
"ANKRD11" -1.92419108886983 4.20621146592082 8.02696274164043e-05 0.0255219191552063
"MAML1" -1.94550205663834 3.17885192754953 8.46547305737358e-05 0.0264956079394141
"PGK1" -1.92888232609257 3.27099244861586 8.65545175873005e-05 0.0266734391044803
"DTNBP1" -1.90875529111281 6.05528743423937 8.85830940889727e-05 0.0268849690560032
"AC018638.1" -1.94034241680096 5.15829280374046 0.000109535935508613 0.0327479749876571
"RASGRP4" -1.9214405989621 3.64322602296384 0.000121858299931676 0.0358962294989911
"ANGPTL5" -1.90127071744911 4.75476660478454 0.000127259968655684 0.0369441222049565
"VSTM5" -1.91355638411849 3.6602631279793 0.00012912113270207 0.0369489344165022
"ABCA5" -1.86378565796639 5.29529200555044 0.000154145531736849 0.043488579524237
"SRF" -1.92624336527613 3.41319402419245 0.000162249298183717 0.0451391068321951
"MBLAC1" -1.85019534294674 2.48801664993127 0.000166919156400508 0.0458021592035421
"CTD-3105H18.14" -1.82623509657158 5.44901679402787 0.000178753356202052 0.0483866010551798
"C16orf91" -1.90108588546687 4.478793442553 0.00018585646329708 0.049638544217384
"ICE2" -1.83139349651611 6.4696330090685 0.00019238766227703 0.0507068060930419
"DPY19L1" -1.85115746992523 7.09058501535727 0.000202273083678912 0.0519914533935979
"TRANK1" -2.06697787154028 -1.06920783642792 0.000205020686534792 0.0519914533935979
"OR56A3" -1.83424176664445 6.54624792367097 0.000205627265346043 0.0519914533935979
"ORAI2" -1.86002209781335 4.04652188034596 0.000207643965427978 0.0519914533935979
"POLR2D" -1.79021244676306 4.11910264411961 0.000212999924120867 0.0526740923464826
"MMRN2" -1.79465889809217 5.5236899800772 0.000220048063591072 0.0537534483145459
"GP1BA" -1.80815217301562 4.2849578007855 0.000227332255650942 0.0548637640113736
"TRIM40" -1.78531228008401 3.87103501221161 0.000232278576028736 0.0553901447194239
"FAM71F1" -1.83107455536121 5.86295849193365 0.000246564737356797 0.0581051559293412
"LRRK2" -1.82816696893347 5.87740004969463 0.000255559819426156 0.0595246365456435
"NAA60" -1.77922834379579 5.19566939103338 0.000285855670936295 0.0654978927379154
"C2orf42" -1.85808811394025 5.0336741493632 0.000287744723725054 0.0654978927379154
"KIAA0100" -1.71735346982807 5.57203669321768 0.000342319164346935 0.0770448896745331
"SEBOX" -1.80146291580631 0.627033660513277 0.000346193311779099 0.0770510914249682
"IFI44L" -1.79647412489574 1.29148818718525 0.000368942831413114 0.0812120203960009
"PHTF1" -1.71253201499701 5.85178920575485 0.000378359263355254 0.0823795043942294
"IL17RE" -1.73118123686019 5.35617704928119 0.000390392035871812 0.0840854072101964
"FUCA1" -1.69792910127124 5.51938705859676 0.000398541721989743 0.0849275450337929
"SPPL2B" -1.69630688576126 6.19828548364474 0.000404925244511029 0.0853795533978992
"PTPRF" -1.7656167380885 5.79856251032861 0.000439478904069406 0.0897472839755306
"ITGB5" -1.71456341772097 5.7234067504857 0.000441077175015084 0.0897472839755306
"OR2AT4" -1.67697815691316 5.72510319124097 0.00044615144173064 0.0897472839755306
"SATB1" -1.69757094533583 4.94532105852508 0.000447169345738903 0.0897472839755306
"ZNF835" -1.70619055577629 7.5830033516654 0.000448041954847639 0.0897472839755306
"DDX31" -1.72571624117682 3.98620324268782 0.00045548729580003 0.090335307150202
"ZNF425" -1.69506872469159 6.64754137028029 0.000464646678506024 0.0912484080113153
"CARD11" -1.71082861676569 5.73796252560544 0.00046951606375691 0.0913094783797539
"PIGF" -1.65993115601397 5.6615572855337 0.000556457808390737 0.107176984229566
"CHCHD2" -1.65530839649455 5.54726467557577 0.000589241422495651 0.112125002430563
"H2AFY" -1.66883864150837 4.90608871396156 0.00059334283149317 0.112125002430563
"SPDYA" -1.67654732681845 7.74082856253721 0.000602798580585691 0.112847274464598
"KIRREL" -1.67773249916423 6.36169521148704 0.000616211731708401 0.114290159239361
"DEFB127" -1.65714114569485 5.74700558503694 0.000635285086669867 0.116220962564579
"AGER" -1.64439282054831 5.10136443251136 0.000638226043737392 0.116220962564579
"DKKL1" -1.72812713657588 4.606479902648 0.000652060893256514 0.117164870886649
"TFF1" -1.6896982672118 6.28042003758245 0.000655107859782574 0.117164870886649
"SPARC" -1.73055656038297 1.76483704323806 0.000675755464025231 0.118591792833998
"BBX" -1.66746264021939 4.12443315175111 0.000683992356587404 0.118591792833998
"MSANTD4" 1.66276778163631 5.50723502511602 0.000685094320198674 0.118591792833998
"SCAMP3" -1.64631400867848 5.87030041334089 0.000686767908179511 0.118591792833998
"RP1-66C13.4" -1.70281145833533 4.69495722803904 0.000709805570040827 0.121522353619554
"TFPI2" -1.69331018876926 1.48250137890685 0.000720231314424708 0.12218097633828
"TSPAN4" -1.71518397104778 3.32457640646234 0.000725851739017292 0.12218097633828
"STRN" -1.65040761245783 1.8729698913965 0.000741114270013598 0.12371049952202
"EFCC1" -2.12519377084805 -2.09301317457095 0.000747696986238484 0.123777837449116
"PSME4" -1.61926833594147 6.54772380798723 0.000761304830705067 0.124997516916829
"C9orf131" -1.66374832444985 2.8321951035919 0.000775265779761565 0.12625486857239
"DCLK1" -1.6365100841442 4.77394335502289 0.000791169289101046 0.127805742177283
"RRP7A" -1.64016366661443 5.75608110102738 0.000807877603527732 0.128495837878924
"LRRC8A" -1.62137278724139 6.22506581024466 0.000808270958651309 0.128495837878924
"RP11-231C14.4" -1.63990117160052 6.33914913807398 0.000816608129514475 0.128799034978775
"ABHD13" -1.61884085092363 6.52694894407112 0.000882999706060142 0.137882433070904
"CLINT1" -1.65389740174337 5.7948713855899 0.000888998823531879 0.137882433070904
"ACAD8" -1.63513953754316 2.01283748950958 0.000894848799321926 0.137882433070904
"ABCB11" -1.66968239409081 2.14544348943932 0.000925829374792929 0.140620783505901
"ADAMTS10" -1.60450873338077 3.35489185766549 0.000928154154192886 0.140620783505901
"ARPC2" -1.58375455298837 6.73366930078738 0.00093368100475687 0.140620783505901
"OR1J1" -1.64953121244386 4.58501552923134 0.000947445998920716 0.141629035853588
"LMNTD1" -1.58380772970863 6.56450538754107 0.00098857035183092 0.146681871981668
"THAP4" -1.58425245988267 5.49699274214009 0.00102940763916682 0.151618120736402
"ARHGAP19-SLIT1" -1.68217920979109 0.656015690187825 0.00107938455891261 0.157818628464077
"TCHP" -1.58192736591333 7.70579011069178 0.00108735709325501 0.157832245905732
"ADGRL4" -1.57591739172648 3.43989476288021 0.001097699917098 0.158154154740992
"AC110602.1" -1.56252068173245 7.16497659753072 0.00110536576624926 0.158154154740992
"TCP10L" -1.56623836404346 5.79376633173857 0.00111396998210474 0.158254841925815
"C15orf53" -1.5609263420885 5.05725550751865 0.0011363237170956 0.16029366462776
"C5orf24" -1.55392166948524 6.36614983208334 0.00114544391377384 0.160450258998628
"ABHD14B" -1.54933844202493 5.38850767624018 0.00120033229809993 0.165413529020271
"ABHD12B" -1.54085116110661 5.25611535503122 0.00120466594809848 0.165413529020271
"RBM14" -1.54793966077679 6.46156988789621 0.00122006073751536 0.165413529020271
"LINS1" -1.57659623452797 4.40484497612772 0.00122202487835709 0.165413529020271
"ADCYAP1R1" -1.55547444963501 4.9699477982878 0.00122518652226907 0.165413529020271
"pumpkin" -1.53916123171254 5.26380064448459 0.00123164749987671 0.165413529020271
"PELI1" -1.55422636879966 6.2269278144758 0.00124841579881281 0.165413529020271
"GPC5" -1.58438561255001 5.20560491832158 0.00125161388910834 0.165413529020271
"UBXN6" -1.54275941149513 7.00482794470629 0.00125519726479363 0.165413529020271
"TSPAN31" -1.56921379176842 4.42588796875145 0.00127608675785028 0.167067280042477
"ABCD1" -1.55216147670218 3.84207865074142 0.00137575510204186 0.176986961705255
"CAPN6" -1.55888323221856 4.80313294307276 0.00138011565608453 0.176986961705255
"CBLN2" -1.5604929424214 2.20513482681516 0.00138237880624949 0.176986961705255
