#gene	sample1	sample2	sample3
anise	5761	1420	4412
apricot	237	222	371
artichoke	9304	7973	8404
arugula	996	2523	1409
asparagus	1549	1192	886
avocado	7003	3732	5293
banana	1910	1302	3155
basil	530	479	534
beet	38	12	24
blackberry	3474	3928	6567
blueberry	2234	1421	3462
broccoli	6156	8094	5122
butternut	2329	2202	2965
cabbage	312	131	508
cantaloupe	2901	1706	1309
caraway	746	527	508
carrot	9951	6833	9604
cauliflower	1206	2195	1792
cayenne	321	240	278
celery	5645	5426	6917
chard	3517	1948	5451
cherry	44	32	104
chestnut	53	151	256
chickpea	71	128	65
cilantro	1220	1131	931
clementine	1760	1617	3390
coconut	4491	7767	2304
coriander	761	694	1361
cranberry	195	142	97
cucumber	8265	8107	5104
currant	3767	3758	5177
eggplant	5464	4407	6618
elderberry	3038	2518	2960
endive	3987	2361	4138
fennel	262	288	562
fig	3557	6769	4419
garlic	709	705	360
ginger	463	733	663
gooseberry	851	768	680
grape	541	956	874
grapefruit	1604	1049	720
guava	5450	4489	8308
honeydew	107	47	113
horseradish	6452	6639	7059
huckleberry	810	688	1626
juniper	577	438	263
kiwi	4254	6857	4882
kohlrabi	2843	2325	3494
lavender	586	645	515
leek	1754	4820	2188
lentil	2360	8406	4710
lettuce	5436	6884	3919
lime	7827	8317	11404
maize	528	653	302
mango	11334	9269	21430
melon	3925	3923	6189
mulberry	1863	4102	1608
mushroom	504	893	270
mustard	69	157	234
nectarine	564	703	299
okra	1294	1396	1088
olive	8002	3792	2614
onion	1377	2014	1311
orange	3211	3152	6692
oregano	438	288	417
papaya	2303	1293	1300
parsley	393	913	820
parsnip	959	2810	3306
pea	1721	1651	1359
peach	634	888	1173
pear	1	14	5
pepper	150	272	286
persimmon	654	1188	938
pineapple	3284	3598	5898
plantain	3556	1803	2743
plum	8186	12630	16401
pomegranate	305	389	408
potato	624	333	840
pumpkin	3628	3380	3287
quince	6035	6510	9200
radish	5887	5178	4848
raisin	10837	4512	9199
raspberry	1184	580	1582
rhubarb	8069	7370	4584
rosemary	1232	534	377
rutabaga	1086	1044	2380
sage	3131	3051	3485
scallion	373	303	568
spinach	3972	5010	2080
strawberry	836	2063	850
tamarind	222	168	149
tangerine	758	1147	725
thyme	970	1098	1125
tomato	1008	1695	2326
turnip	5249	8223	9875
wasabi	28060	37808	38590
watercress	542	805	636
watermelon	10079	13716	21379
yam	6042	5238	2498
zucchini	412	895	526
OR4F5	1871	1546	1090
FO538757.2	4418	5179	3026
FO538757.1	3201	3447	5977
OR4F29	12361	5367	14974
OR4F16	4006	2862	939
SAMD11	1698	1295	965
NOC2L	2315	1855	1254
KLHL17	2698	3695	2400
PLEKHN1	2378	1527	7530
PERM1	12849	21412	11104
HES4	92	203	199
ISG15	638	520	445
AGRN	1325	977	508
RNF223	12197	14405	4723
C1orf159	6927	11840	6437
TTLL10	5641	6588	4854
TNFRSF18	2887	2273	999
TNFRSF4	3240	6419	2789
SDF4	252	336	444
B3GALT6	2953	4766	3126
FAM132A	436	1006	647
UBE2J2	192	76	155
SCNN1D	3654	8514	12452
ACAP3	479	400	319
PUSL1	3731	2056	2211
CPSF3L	1075	1740	746
CPTP	5461	2920	2760
TAS1R3	1037	585	1202
DVL1	12958	6048	4794
MXRA8	2607	2464	1764
AURKAIP1	937	718	1257
CCNL2	33623	29736	17325
MRPL20	453	448	397
ANKRD65	1381	2462	4373
TMEM88B	968	1037	855
VWA1	31094	12903	28933
ATAD3C	420	323	704
ATAD3B	3393	2533	2966
ATAD3A	3161	5001	4248
TMEM240	4938	2025	4556
SSU72	343	460	220
AL645728.1	199	297	234
FNDC10	7545	4831	4047
MIB2	162	74	63
MMP23B	26139	23160	10886
CDK11B	647	794	1514
SLC35E2B	3401	2577	5473
CDK11A	1005	2336	1744
SLC35E2	911	826	1332
NADK	3723	3746	1639
GNB1	21468	13050	8256
CALML6	2056	3136	1967
TMEM52	558	225	399
CFAP74	5595	7848	11618
GABRD	4184	1803	687
PRKCZ	5602	8451	5512
FAAP20	1637	685	1391
SKI	3335	2978	1299
MORN1	2750	3847	4935
RER1	1668	2748	2870
PEX10	353	478	343
PLCH2	509	662	892
PANK4	2736	7248	6515
HES5	3031	1597	4077
TNFRSF14	166	223	223
FAM213B	518	2358	2529
MMEL1	782	756	583
TTC34	5148	3664	5164
ACTRT2	2709	1755	1338
PRDM16	3668	4340	6473
ARHGEF16	5240	3673	8958
MEGF6	1820	5950	3592
TPRG1L	2428	2449	2235
WRAP73	8068	5096	6622
TP73	4617	4713	2416
CCDC27	675	734	783
SMIM1	451	783	645
LRRC47	1524	1848	796
CEP104	2340	2930	1619
DFFB	3381	1478	792
C1orf174	1638	7157	2942
AJAP1	4241	3581	3108
NPHP4	1843	1496	2256
KCNAB2	789	598	727
CHD5	5796	12884	8653
RPL22	1994	1035	949
RNF207	2141	1646	2559
ICMT	1489	1576	777
HES3	5903	4143	11775
GPR153	3808	4230	3350
ACOT7	5737	6975	4255
HES2	824	802	2302
ESPN	4565	5863	5227
TNFRSF25	549	513	1150
PLEKHG5	2967	3040	4703
NOL9	8238	9030	4676
TAS1R1	5807	2835	3214
ZBTB48	1498	653	842
KLHL21	3404	1692	2474
PHF13	452	344	393
THAP3	1375	321	1048
DNAJC11	4831	3086	1928
CAMTA1	1329	862	1616
VAMP3	142	246	175
PER3	98	275	121
UTS2	401	163	266
TNFRSF9	4232	1328	2976
PARK7	11056	7363	7277
ERRFI1	1663	2776	4336
SLC45A1	31	26	35
RERE	2030	2690	4063
ENO1	72	56	107
CA6	122	230	222
SLC2A7	4652	2202	4041
SLC2A5	19	29	23
GPR157	972	500	656
H6PD	658	183	434
SPSB1	1186	1054	2578
SLC25A33	6188	4369	4257
TMEM201	2682	1295	2751
PIK3CD	4522	8724	7491
CLSTN1	1553	620	886
AL357140.1	425	455	430
CTNNBIP1	1666	2225	3745
LZIC	1229	2857	1516
NMNAT1	615	830	582
RBP7	9103	6684	3348
UBE4B	7764	5758	4857
KIF1B	5705	7643	17729
PGD	63	30	29
APITD1-CORT	3701	2311	5863
APITD1	525	457	120
CORT	2281	2141	2534
DFFA	8869	12377	15530
PEX14	2517	3946	1649
CASZ1	7889	6021	3742
C1orf127	2962	2155	1164
TARDBP	6366	6638	11021
RP4-635E18.9	15426	11225	12411
MASP2	2597	3703	3339
SRM	1258	2509	2677
EXOSC10	4431	5200	1780
MTOR	7695	4483	12700
ANGPTL7	1415	541	1378
UBIAD1	6007	5672	5111
DISP3	299	255	220
FBXO2	3137	1542	3475
FBXO44	1133	1574	1357
FBXO6	1048	1100	2672
MAD2L2	2047	1145	3683
DRAXIN	174	374	132
AGTRAP	9520	17987	4821
C1orf167	1120	1713	4361
MTHFR	2876	2692	6038
CLCN6	6212	7157	6433
NPPA	3947	4920	3660
NPPB	2168	2558	1870
KIAA2013	2000	2420	1333
PLOD1	6236	7105	3280
MFN2	311	417	426
MIIP	4073	6487	1721
TNFRSF8	1526	1774	414
TNFRSF1B	512	1145	989
VPS13D	5251	3360	1826
DHRS3	9548	2760	11380
AADACL4	202	153	149
AADACL3	5427	3391	3010
C1orf158	560	634	885
PRAMEF12	3899	8439	5049
PRAMEF1	1793	4065	4317
PRAMEF11	3416	5299	5889
HNRNPCL1	1358	640	1934
PRAMEF2	1922	3466	2955
PRAMEF4	2261	776	1427
PRAMEF10	8217	3018	9483
PRAMEF7	9247	3182	6889
PRAMEF6	875	2449	743
PRAMEF27	3543	3708	6158
PRAMEF25	9031	3390	3624
HNRNPCL3	269	302	664
HNRNPCL2	220	646	472
PRAMEF26	56	14	11
HNRNPCL4	5568	4461	5015
PRAMEF9	4013	5935	4408
PRAMEF18	1148	669	808
PRAMEF5	415	236	868
PRAMEF8	4705	8732	15496
PRAMEF15	1421	987	1371
PRAMEF14	1495	1165	1330
PRAMEF19	1566	1842	2294
PRAMEF17	4044	2962	974
PRAMEF20	1148	972	454
LRRC38	1001	953	1626
PDPN	719	527	717
PRDM2	358	453	236
KAZN	1230	244	1665
TMEM51	1061	838	1428
FHAD1	1449	1108	744
EFHD2	720	830	1234
CTRC	10223	15338	4020
