                4hr    4hr    8hr    8hr   16hr   16hr   24hr   24hr 
gene           +-20    +-2   +-20    +-5    +-5   +-20    +-2   +-20 
------------ ------ ------ ------ ------ ------ ------ ------ ------ 
anise         82.16  61.52  56.65  53.24  19.64  53.96  41.79  48.77 
kiwi          32.62  22.48  39.71  51.13  74.26  96.05  20.09  24.04 
carrot        60.73  57.91  75.95  64.55  42.33  36.01  31.41  24.17 
grape         45.68  48.98  58.39  73.43  42.46  40.32  18.61   8.86 
tangerine     96.16  63.74  47.03  51.52  19.26  36.95  57.78  53.23 
melon         16.05  58.09  14.91  40.52  44.77  44.89  69.97  80.42 
clementine    59.43  33.61  15.48  18.16  65.60  38.55  60.69  32.44 
spinach       57.77  32.15  44.04  37.15  70.32  67.11  38.75  39.04 
beet          65.97  45.26  28.64  16.28  37.18  20.54  69.18  89.60 
huckleberry   44.91  31.46   0.00  16.63  68.04  69.89  47.30  42.91 
lentil        69.30  67.96  87.38  58.17  34.46  40.01  67.59  59.38 
cauliflower   27.32  24.14  72.96  54.92  51.63  48.96  12.35   0.00 
